start
file_7.csv
File contains: 32767bytes
7191,1559229596.832,-0.06,0.00,0.00,0.00,,1.87
7192,1559229597.870,-0.06,0.00,0.00,0.00,,1.87
7193,1559229598.902,-0.06,0.00,0.00,0.00,,1.87
7194,1559229599.934,-0.06,0.00,0.00,0.00,,1.87
7195,1559229599.966,-0.06,0.00,0.00,0.00,,1.87
7196,1559229599.998,-0.06,0.00,0.00,0.00,,1.87
7197,1559229600.030,-0.06,0.00,0.00,0.00,,1.87
7198,1559229600.062,-0.06,0.00,0.00,0.00,,1.87
7199,1559229600.094,-0.06,0.00,0.00,0.00,,1.87
7200,1559229600.126,-0.06,0.00,0.00,0.00,,1.87
7201,1559229600.158,-0.06,0.00,0.00,0.00,,1.87
7202,1559229600.193,-0.06,0.00,0.00,0.00,,1.87
7203,1559229600.225,-0.06,0.00,0.00,0.00,,1.87
7204,1559229600.257,-0.06,0.00,0.00,0.00,,1.87
7205,1559229600.289,-0.06,0.00,0.00,0.00,,1.87
7206,1559229600.321,-0.06,0.00,0.00,0.00,,1.87
7207,1559229600.353,-0.06,0.00,0.00,0.00,,1.87
7208,1559229600.385,-0.06,0.00,0.00,0.00,,1.87
7209,1559229600.425,-0.06,0.00,0.00,0.00,,1.87
7210,1559229600.457,-0.06,0.00,0.00,0.00,,1.87
7211,1559229600.489,-0.06,0.00,0.00,0.00,,1.87
7212,1559229600.521,-0.06,0.00,0.00,0.00,,1.87
7213,1559229600.556,-0.06,0.00,0.00,0.00,,1.87
7214,1559229600.588,-0.06,0.00,0.00,0.00,,1.87
7215,1559229600.620,-0.06,0.00,0.00,0.00,,1.87
7216,1559229600.652,-0.06,0.00,0.00,0.00,,1.87
7217,1559229600.684,-0.06,0.00,0.00,0.00,,1.87
7218,1559229600.716,-0.06,0.00,0.00,0.00,,1.87
7219,1559229600.748,-0.06,0.00,0.00,0.00,,1.87
7220,1559229600.780,-0.06,0.00,0.00,0.00,,1.87
7221,1559229600.812,-0.06,0.00,0.00,0.00,,1.87
7222,1559229600.844,-0.06,0.00,0.00,0.00,,1.87
7223,1559229600.876,-0.06,0.00,0.00,0.00,,1.87
7224,1559229600.906,-0.06,0.00,0.00,0.00,,1.87
7225,1559229600.938,-0.06,0.00,0.00,0.00,,1.87
7226,1559229600.970,-0.06,0.00,0.00,0.00,,1.87
7227,1559229601.002,-0.06,0.00,0.00,0.00,,1.87
7228,1559229601.034,-0.06,0.00,0.00,0.00,,1.87
7229,1559229601.066,-0.06,0.00,0.00,0.00,,1.87
7230,1559229601.098,-0.06,0.00,0.00,0.00,,1.87
7231,1559229601.130,-0.06,0.00,0.00,0.00,,1.87
7232,1559229601.162,-0.06,0.00,0.00,0.00,,1.87
7233,1559229601.194,-0.06,0.00,0.00,0.00,,1.87
7234,1559229601.229,-0.06,0.00,0.00,0.00,,1.87
7235,1559229601.261,-0.06,0.00,0.00,0.00,,1.87
7236,1559229601.300,-0.06,0.00,0.00,0.00,,1.87
7237,1559229601.333,-0.06,0.00,0.00,0.00,,1.87
7238,1559229601.365,-0.06,0.00,0.00,0.00,,1.87
7239,1559229601.397,-0.06,0.00,0.00,0.00,,1.87
7240,1559229601.429,-0.06,0.00,0.00,0.00,,1.87
7241,1559229601.461,-0.06,0.00,0.00,0.00,,1.87
7242,1559229601.493,-0.06,0.00,0.00,0.00,,1.87
7243,1559229601.525,-0.06,0.00,0.00,0.00,,1.87
7244,1559229601.557,-0.06,0.00,0.00,0.00,,1.87
7245,1559229601.592,-0.06,0.00,0.00,0.00,,1.87
7246,1559229601.624,-0.06,0.00,0.00,0.00,,1.87
7247,1559229601.656,-0.06,0.00,0.00,0.00,,1.87
7248,1559229601.688,-0.06,0.00,0.00,0.00,,1.87
7249,1559229601.720,-0.06,0.00,0.00,0.00,,1.87
7250,1559229601.752,-0.06,0.00,0.00,0.00,,1.87
7251,1559229601.784,-0.06,0.00,0.00,0.00,,1.87
7252,1559229601.816,-0.06,0.00,0.00,0.00,,1.87
7253,1559229601.848,-0.06,0.00,0.00,0.00,,1.87
7254,1559229601.880,-0.06,0.00,0.00,0.00,,1.87
7255,1559229601.912,-0.06,0.00,0.00,0.00,,1.87
7256,1559229601.942,-0.06,0.00,0.00,0.00,,1.87
7257,1559229601.974,-0.06,0.00,0.00,0.00,,1.87
7258,1559229602.006,-0.06,0.00,0.00,0.00,,1.87
7259,1559229602.038,-0.06,0.00,0.00,0.00,,1.87
7260,1559229602.070,-0.06,0.00,0.00,0.00,,1.87
7261,1559229602.102,-0.06,0.00,0.00,0.00,,1.87
